year,route,origin_iata,destination_iata,distance_km,region,main_airlines,annual_passengers_m,avg_fare_usd,weekly_frequency_est,annual_revenue_usd_m
2023,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",2.82,162.0,8,455.6
2024,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.22,224.0,9,723.5
2025,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.26,196.0,10,639.2
2026,Toronto-Vancouver,YYZ,YVR,3358,North America,"Air Canada, WestJet",3.41,206.0,11,701.7
2015,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.06,89.0,21,627.4
2018,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.49,111.0,21,833.2
2019,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.08,97.0,26,782.0
2020,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",2.48,29.0,7,72.4
2021,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",4.03,49.0,12,197.9
2022,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",6.08,77.0,18,467.8
2023,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",7.72,98.0,23,752.5
2024,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.17,118.0,23,961.5
2025,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.93,109.0,28,976.0
2026,Mexico City-Cancun,MEX,CUN,1281,Latin America,"Aeromexico, Volaris, VivaAerobus",8.62,108.0,24,935.7
2015,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",5.29,53.0,13,281.4
2018,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.31,59.0,17,374.5
2019,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.87,60.0,21,408.9
2020,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",1.92,21.0,6,40.8
2021,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",3.16,30.0,10,96.3
2022,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",4.88,48.0,15,233.4
2023,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.06,62.0,19,373.0
2024,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",7.13,67.0,21,477.7
2025,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",6.75,66.0,20,448.7
2026,Sao Paulo-Rio,GRU,GIG,360,Latin America,"LATAM, GOL, Azul",7.33,72.0,23,530.7
2015,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.0,108.0,14,537.9
2018,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.97,126.0,18,750.0
2019,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.38,114.0,19,729.8
2020,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",1.81,36.0,5,64.2
2021,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",2.84,65.0,9,185.3
2022,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",4.5,84.0,12,378.1
2023,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",5.77,119.0,14,686.9
2024,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.55,133.0,18,868.2
2025,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.79,132.0,19,898.4
2026,Bogota-Lima,BOG,LIM,1881,Latin America,"Avianca, LATAM",6.74,156.0,21,1052.3
2015,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.37,265.0,5,628.1
2018,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.67,270.0,8,721.2
2019,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.71,306.0,8,831.1
2020,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",0.73,90.0,2,65.5
2021,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",1.39,148.0,5,205.9
2022,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.08,229.0,7,475.9
2023,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.64,268.0,5,706.2
2024,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",2.82,327.0,8,921.5
2025,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",3.11,330.0,10,1026.0
2026,Tokyo-Honolulu,NRT,HNL,6182,Pacific,"Hawaiian, ANA, JAL",3.03,342.0,9,1037.7
2015,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.06,440.0,4,465.9
2018,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.35,513.0,3,691.2
2019,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.37,561.0,3,770.6
2020,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",0.41,171.0,3,69.5
2021,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",0.69,267.0,2,183.2
2022,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.02,396.0,3,405.3
2023,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.21,547.0,2,663.6
2024,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.38,562.0,6,773.5
2025,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.44,563.0,3,811.2
2026,Los Angeles-Sydney,LAX,SYD,12057,Pacific,"Qantas, United, American",1.6,504.0,3,803.5
2015,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",1.71,394.0,5,674.1
2018,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",1.87,495.0,7,927.0
2019,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",2.0,479.0,6,957.5
2020,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",0.57,140.0,1,80.1
2021,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",0.92,235.0,1,216.7
2022,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",1.49,346.0,1,516.1
2023,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",1.79,457.0,4,819.3
2024,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",2.19,501.0,7,1099.6
2025,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",2.16,543.0,5,1174.3
2026,Hong Kong-San Francisco,HKG,SFO,11129,Pacific,"Cathay Pacific, United",2.2,530.0,6,1163.9
2015,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.46,391.0,4,570.1
2018,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.66,415.0,4,690.4
2019,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.72,435.0,4,748.9
2020,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",0.52,118.0,1,60.7
2021,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",0.91,208.0,5,189.4
2022,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.39,351.0,4,486.6
2023,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.82,392.0,2,715.8
2024,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.84,470.0,5,864.6
2025,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",1.98,515.0,6,1022.4
2026,Seoul-Los Angeles,ICN,LAX,9572,Pacific,"Korean Air, Asiana, Delta",2.06,458.0,5,945.1
2015,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",1.85,338.0,4,625.8
2018,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.01,376.0,4,754.8
2019,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.04,408.0,5,833.6
2020,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",0.68,126.0,2,85.7
2021,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",1.05,205.0,3,215.8
2022,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",1.67,308.0,6,515.5
2023,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.06,411.0,5,847.9
2024,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.12,440.0,7,933.2
2025,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.44,466.0,6,1137.3
2026,Johannesburg-London,JNB,LHR,9070,Africa-Europe,"British Airways, Virgin",2.35,478.0,7,1124.4
2015,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",9.93,82.0,29,818.2
2018,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",11.34,102.0,33,1159.5
2019,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",11.31,103.0,31,1166.2
2020,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",3.23,31.0,9,98.8
2021,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",5.65,55.0,16,308.6
2022,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",8.04,78.0,23,628.0
2023,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",10.56,95.0,33,1006.7
2024,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",10.73,105.0,32,1124.8
2025,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",11.92,119.0,36,1413.9
2026,Cairo-Riyadh,CAI,RUH,1304,MENA,"Saudia, EgyptAir",12.5,113.0,37,1407.0
2015,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.13,211.0,6,450.4
2018,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.46,222.0,6,546.4
2019,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.35,265.0,7,621.2
2020,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",0.77,69.0,4,53.3
2021,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",1.23,127.0,4,155.9
2022,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",1.81,182.0,5,331.0
2023,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.68,243.0,9,651.6
2024,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.77,270.0,7,748.1
2025,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.89,253.0,10,729.8
2026,Lagos-London,LOS,LHR,5034,Africa-Europe,"British Airways, Virgin",2.84,240.0,8,682.2
2015,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.12,300.0,2,335.3
2018,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.2,320.0,3,382.8
2019,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.31,364.0,3,476.4
2020,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",0.4,102.0,1,41.1
2021,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",0.63,169.0,3,106.5
2022,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.02,228.0,1,233.0
2023,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.3,319.0,5,414.7
2024,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.35,362.0,4,487.8
2025,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.44,362.0,4,519.9
2026,Mumbai-London,BOM,LHR,7196,Asia-Europe,"British Airways, Air India, Virgin",1.52,378.0,5,574.8
2015,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",0.9,441.0,2,396.7
2018,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.04,436.0,3,451.9
2019,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.1,460.0,3,505.9
2020,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",0.34,120.0,2,40.5
2021,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",0.56,238.0,1,132.3
2022,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",0.82,332.0,3,272.7
2023,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.04,458.0,2,474.5
2024,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.15,476.0,4,548.7
2025,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.14,468.0,1,533.2
2026,Frankfurt-Singapore,FRA,SIN,10262,Europe-Asia,"Lufthansa, Singapore",1.2,491.0,1,588.3
2015,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",1.73,335.0,6,579.1
2018,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.13,403.0,5,856.6
2019,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.07,391.0,6,811.1
2020,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",0.68,133.0,2,90.8
2021,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",1.07,210.0,2,224.5
2022,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",1.64,355.0,3,582.3
2023,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.07,428.0,4,887.9
2024,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.25,426.0,6,961.3
2025,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.27,478.0,7,1086.4
2026,Amsterdam-Bangkok,AMS,BKK,9229,Europe-Asia,"KLM, EVA Air",2.52,446.0,7,1122.1
2015,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",3.95,96.0,11,380.9
2018,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",4.26,96.0,11,408.5
2019,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",4.49,94.0,13,420.5
2020,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",1.47,31.0,4,45.4
2021,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",2.25,48.0,7,108.7
2022,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",3.44,74.0,10,253.3
2023,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",4.41,96.0,14,423.6
2024,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",4.91,112.0,15,551.8
2025,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",4.88,103.0,13,501.5
2026,Seoul-Tokyo,ICN,NRT,1244,Asia,"Korean Air, ANA, JAL",5.09,111.0,15,566.1
2015,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",7.24,88.0,19,639.7
2018,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",8.01,102.0,24,814.2
2019,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",9.15,115.0,28,1052.7
2020,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",2.43,31.0,7,75.4
2021,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",4.08,55.0,12,224.3
2022,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",6.04,86.0,18,519.8
2023,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",7.45,101.0,22,754.2
2024,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",9.18,110.0,28,1009.0
2025,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",9.32,109.0,26,1012.0
2026,Bangkok-Singapore,BKK,SIN,1421,Asia,"Thai, Singapore, AirAsia",9.85,129.0,29,1266.2
2015,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",3.49,121.0,9,421.5
2018,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",4.01,134.0,11,536.1
2019,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",3.84,138.0,9,530.7
2020,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",1.22,39.0,4,46.9
2021,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",1.93,67.0,5,129.3
2022,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",2.94,114.0,10,336.0
2023,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",3.8,129.0,12,490.6
2024,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",4.33,136.0,12,589.0
2025,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",4.03,160.0,14,645.9
2026,Sydney-Auckland,SYD,AKL,2155,Oceania,"Qantas, Air NZ",4.43,134.0,13,594.6
2015,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",3.78,92.0,11,349.1
2018,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",4.26,96.0,12,406.8
2019,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",4.5,98.0,13,439.8
2020,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",1.39,31.0,2,43.1
2021,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",2.38,44.0,6,105.5
2022,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",3.34,79.0,10,264.5
2023,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",4.54,95.0,14,432.3
2024,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",4.84,99.0,16,479.2
2025,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",4.75,118.0,14,559.8
2026,Moscow-Sochi,SVO,AER,1364,Eurasia,"Aeroflot, S7",5.18,114.0,16,588.3
2015,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",7.21,57.0,20,410.2
2018,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",8.22,70.0,24,576.7
2019,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",8.78,69.0,25,609.3
2020,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",2.53,20.0,6,51.5
2021,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",4.33,35.0,11,151.9
2022,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",5.97,53.0,17,318.1
2023,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",8.18,69.0,23,563.7
2024,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",8.44,80.0,25,678.4
2025,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",9.2,72.0,27,662.5
2026,Istanbul-Antalya,IST,AYT,480,Europe,"Turkish, Pegasus",9.09,82.0,26,742.6
2015,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",3.17,211.0,9,667.9
2018,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",3.24,249.0,9,806.8
2019,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",3.92,236.0,12,923.0
2020,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",1.17,85.0,3,100.3
2021,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",1.97,121.0,6,238.4
2022,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",2.75,179.0,7,494.0
2023,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",3.6,239.0,11,859.2
2024,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",3.7,244.0,12,902.8
2025,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",4.32,273.0,12,1178.1
2026,Tokyo-Singapore,HND,SIN,5350,Asia,"Singapore, ANA, JAL",4.42,303.0,13,1340.0
2015,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",2.84,102.0,8,290.8
2018,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.23,112.0,9,360.7
2019,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.44,113.0,11,388.9
2020,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",0.99,36.0,2,35.3
2021,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",1.74,53.0,6,92.4
2022,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",2.51,97.0,7,243.6
2023,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.26,128.0,9,417.9
2024,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.79,127.0,11,480.3
2025,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.79,139.0,10,528.1
2026,New York-Miami,JFK,MIA,1759,North America,"American, Delta, JetBlue",3.7,130.0,11,480.1
